params	total_open	total_closed	total_won	total_lost	win_streak	lose_streak	pnl_net	strike_rate	cagr	sharpe	sortino	volatility	avg_win	avg_loss	max_drawdown
{'period': 2, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	7	4	3	3	2	10.41	57.1428571428571	25.7469831223354	5.56101883020202	15.7109177270713	0.387697908219466	0.031319417221437	-0.008988440001687	-0.042612321477915
{'period': 8, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.4	42.8571428571429	25.6952200132736	6.15941461211991	18.8553019399175	0.347685534619893	0.023883699753305	-0.01033103341138	-0.033982083702369
{'period': 2, 'multiplier': 3.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	17	7	10	2	4	10.39	41.1764705882353	25.6016148237285	5.30083602689126	17.4953447356759	0.407283679925618	0.025769799360231	-0.010362387768329	-0.030020157543788
{'period': 12, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	14	6	8	2	4	10.39	42.8571428571429	25.5718928419131	5.04402120920014	13.4856359865463	0.429592607203299	0.023189138128403	-0.014784870033646	-0.041478914781594
{'period': 18, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.38	60	25.5121388468969	4.93602951269989	13.4565101912335	0.439474020346369	0.033703980188829	-0.016305490301577	-0.045004332350171
{'period': 2, 'multiplier': 3.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	10.38	33.3333333333333	25.4999107474322	5.14621734836876	14.7022393507401	0.420008671255971	0.032302353454779	-0.009764215891024	-0.041815868885299
{'period': 8, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	10.37	50	25.4211430813381	4.90815799919766	12.5940534932927	0.44173010211888	0.032920066415118	-0.012271674660821	-0.054881352927971
{'period': 14, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.35	42.8571428571429	25.2661401654432	6.14069879622221	18.7948169398854	0.347031524057558	0.028408688163196	-0.008113297096231	-0.033181816979675
{'period': 10, 'multiplier': 3.0, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	13	5	8	2	4	10.33	38.4615384615385	25.1079087853268	4.83578908416277	12.1002180742566	0.447227204726466	0.023934437887913	-0.01613888017579	-0.048305883409034
{'period': 6, 'multiplier': 2.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	12	4	8	2	4	10.33	33.3333333333333	25.0835039308574	4.93438484698023	13.0431697287692	0.437369792913968	0.033292816377668	-0.010615832071219	-0.049551309620688
{'period': 12, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.32	60	25.0584286254826	4.90073227238183	13.3284842971487	0.440475669142211	0.033833850303362	-0.013275247189417	-0.046219030244422
{'period': 2, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	16	7	9	2	3	10.31	43.75	24.9688738351032	5.08561333557099	16.5104174871183	0.422615809366768	0.031982908921766	-0.00959480032418	-0.035524457925506
{'period': 4, 'multiplier': 4.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.29	42.8571428571429	24.7554146621029	5.50972215027861	14.2579124626134	0.38690862549725	0.026325790669582	-0.011288481907917	-0.047752935300516
{'period': 10, 'multiplier': 4.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	2	1	10.28	60	24.7241023685401	4.91399385380854	13.7467407059306	0.437344621656351	0.033450901947397	-0.016228999067394	-0.04198268351099
{'period': 18, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	15	6	9	2	5	10.27	40	24.6313324590475	5.05786223528772	14.8492056209287	0.42337632154557	0.026879219669912	-0.011860976860462	-0.043322292924001
{'period': 18, 'multiplier': 3.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.27	42.8571428571429	24.5992287891298	5.94760117753451	15.5316163779394	0.356043952421785	0.024571576674379	-0.011647752741595	-0.041161864047398
{'period': 2, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	25	13	12	3	4	10.26	52	24.5729625724383	6.33858576415201	24.2989041480446	0.332780312253335	0.016526647702306	-0.010589210542037	-0.01297949559494
{'period': 4, 'multiplier': 4.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	10.24	42.8571428571429	24.4046675878642	5.42423803698284	14.4231046345311	0.391691595100993	0.031525090310139	-0.011290533653822	-0.048833685237463
{'period': 2, 'multiplier': 2.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	0	16	7	9	2	3	10.22	43.75	24.2173171326095	5.03440779350751	16.4028700575911	0.423237081684735	0.032003035388191	-0.009758497247818	-0.034517918821101
{'period': 10, 'multiplier': 5.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	2	10.21	50	24.1772629573744	4.84191059833087	12.6791882411307	0.441382112036493	0.033059085902276	-0.012705440891008	-0.052558714911487
